2019:01:07 20:42:48.703 INFO  --- [main] c.juana.GiveMeAnEstimateApplication : Starting GiveMeAnEstimateApplication on juana.local with PID 8049 (/Users/juana/Documents/workspcae/GiveMeAnEstimates/build/classes/java/main started by juana in /Users/juana/Documents/workspcae/GiveMeAnEstimates) 
2019:01:07 20:42:48.706 INFO  --- [main] c.juana.GiveMeAnEstimateApplication : The following profiles are active: dev 
2019:01:07 20:42:48.804 INFO  --- [main] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@385e9564: startup date [Mon Jan 07 20:42:48 KST 2019]; root of context hierarchy 
2019:01:07 20:42:51.262 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'dataManagerConfig' of type [com.juana.config.DataManagerConfig$$EnhancerBySpringCGLIB$$b918b88d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019:01:07 20:42:51.702 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$2eaa911d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019:01:07 20:42:51.778 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.hateoas.config.HateoasConfiguration' of type [org.springframework.hateoas.config.HateoasConfiguration$$EnhancerBySpringCGLIB$$ae2ade4f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019:01:07 20:42:52.330 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8888 (http) 
2019:01:07 20:42:52.361 INFO  --- [main] o.a.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8888"] 
2019:01:07 20:42:52.380 INFO  --- [main] o.a.catalina.core.StandardService : Starting service [Tomcat] 
2019:01:07 20:42:52.380 INFO  --- [main] o.a.catalina.core.StandardEngine : Starting Servlet Engine: Apache Tomcat/8.5.34 
2019:01:07 20:42:52.395 INFO  --- [localhost-startStop-1] o.a.c.core.AprLifecycleListener : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/juana/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.] 
